 .gitattributes                                     |   11 +
 .../Summary/_expected/xml-log-without-metrics.xml  |   18 +-
 .../Source/AST/ASTAllocationExpressionTest.php     |    8 +-
 .../PDepend/Source/AST/ASTAnonymousClassTest.php   |  136 +++
 .../php/PDepend/Source/AST/ASTArgumentsTest.php    |    8 +-
 .../php/PDepend/Source/AST/ASTArrayElementTest.php |   12 +-
 .../Source/AST/ASTArrayIndexExpressionTest.php     |    8 +-
 src/test/php/PDepend/Source/AST/ASTArrayTest.php   |   12 +-
 .../php/PDepend/Source/AST/ASTArtifactListTest.php |    6 +-
 .../php/PDepend/Source/AST/ASTArtifactTest.php     |   12 +-
 .../Source/AST/ASTAssignmentExpressionTest.php     |    8 +-
 .../Source/AST/ASTBooleanAndExpressionTest.php     |    8 +-
 .../Source/AST/ASTBooleanOrExpressionTest.php      |    8 +-
 .../PDepend/Source/AST/ASTBreakStatementTest.php   |    8 +-
 .../php/PDepend/Source/AST/ASTCallableTest.php     |   10 +-
 .../PDepend/Source/AST/ASTCastExpressionTest.php   |    8 +-
 .../PDepend/Source/AST/ASTCatchStatementTest.php   |    8 +-
 .../PDepend/Source/AST/ASTClassFqnPostfixTest.php  |    8 +-
 .../AST/ASTClassOrInterfaceReferenceTest.php       |   10 +-
 .../PDepend/Source/AST/ASTClassReferenceTest.php   |   10 +-
 src/test/php/PDepend/Source/AST/ASTClassTest.php   |   60 +-
 .../PDepend/Source/AST/ASTCloneExpressionTest.php  |    8 +-
 src/test/php/PDepend/Source/AST/ASTClosureTest.php |   10 +-
 src/test/php/PDepend/Source/AST/ASTCommentTest.php |    8 +-
 .../PDepend/Source/AST/ASTCompilationUnitTest.php  |   30 +-
 .../Source/AST/ASTCompoundExpressionTest.php       |    8 +-
 .../PDepend/Source/AST/ASTCompoundVariableTest.php |   10 +-
 .../Source/AST/ASTConditionalExpressionTest.php    |    8 +-
 .../Source/AST/ASTConstantDeclaratorTest.php       |    8 +-
 .../Source/AST/ASTConstantDefinitionTest.php       |    8 +-
 .../PDepend/Source/AST/ASTConstantPostfixTest.php  |    8 +-
 .../php/PDepend/Source/AST/ASTConstantTest.php     |    8 +-
 .../Source/AST/ASTContinueStatementTest.php        |    8 +-
 .../PDepend/Source/AST/ASTDeclareStatementTest.php |   12 +-
 .../PDepend/Source/AST/ASTDoWhileStatementTest.php |    8 +-
 .../PDepend/Source/AST/ASTEchoStatementTest.php    |    8 +-
 .../PDepend/Source/AST/ASTElseIfStatementTest.php  |    8 +-
 .../PDepend/Source/AST/ASTEvalExpressionTest.php   |    8 +-
 .../PDepend/Source/AST/ASTExitExpressionTest.php   |    8 +-
 .../php/PDepend/Source/AST/ASTExpressionTest.php   |    8 +-
 .../PDepend/Source/AST/ASTFieldDeclarationTest.php |   65 +-
 .../PDepend/Source/AST/ASTFinallyStatementTest.php |    6 +-
 src/test/php/PDepend/Source/AST/ASTForInitTest.php |    8 +-
 .../php/PDepend/Source/AST/ASTForStatementTest.php |   16 +-
 .../php/PDepend/Source/AST/ASTForUpdateTest.php    |    8 +-
 .../PDepend/Source/AST/ASTForeachStatementTest.php |   30 +-
 .../PDepend/Source/AST/ASTFormalParameterTest.php  |  123 ++-
 .../PDepend/Source/AST/ASTFormalParametersTest.php |   12 +-
 .../PDepend/Source/AST/ASTFunctionPostfixTest.php  |    8 +-
 .../php/PDepend/Source/AST/ASTFunctionTest.php     |   45 +-
 .../PDepend/Source/AST/ASTGlobalStatementTest.php  |    8 +-
 .../PDepend/Source/AST/ASTGotoStatementTest.php    |    8 +-
 src/test/php/PDepend/Source/AST/ASTHeredocTest.php |    8 +-
 .../php/PDepend/Source/AST/ASTIdentifierTest.php   |    8 +-
 .../php/PDepend/Source/AST/ASTIfStatementTest.php  |   12 +-
 .../Source/AST/ASTIncludeExpressionTest.php        |   12 +-
 .../Source/AST/ASTInstanceOfExpressionTest.php     |   22 +-
 .../php/PDepend/Source/AST/ASTInterfaceTest.php    |   69 +-
 .../PDepend/Source/AST/ASTIssetExpressionTest.php  |   12 +-
 .../PDepend/Source/AST/ASTLabelStatementTest.php   |    8 +-
 .../PDepend/Source/AST/ASTListExpressionTest.php   |    8 +-
 src/test/php/PDepend/Source/AST/ASTLiteralTest.php |   15 +-
 .../Source/AST/ASTLogicalAndExpressionTest.php     |   12 +-
 .../Source/AST/ASTLogicalOrExpressionTest.php      |   12 +-
 .../Source/AST/ASTLogicalXorExpressionTest.php     |    8 +-
 .../Source/AST/ASTMemberPrimaryPrefixTest.php      |    8 +-
 .../PDepend/Source/AST/ASTMethodPostfixTest.php    |   10 +-
 src/test/php/PDepend/Source/AST/ASTMethodTest.php  |   10 +-
 .../php/PDepend/Source/AST/ASTNamespaceTest.php    |   28 +-
 src/test/php/PDepend/Source/AST/ASTNodeTest.php    |   49 +-
 .../php/PDepend/Source/AST/ASTParameterTest.php    |   12 +-
 .../PDepend/Source/AST/ASTParentReferenceTest.php  |   14 +-
 .../Source/AST/ASTPostfixExpressionTest.php        |    6 +-
 .../Source/AST/ASTPreDecrementExpressionTest.php   |    6 +-
 .../Source/AST/ASTPreIncrementExpressionTest.php   |    6 +-
 .../PDepend/Source/AST/ASTPrintExpressionTest.php  |  116 ++
 .../PDepend/Source/AST/ASTPropertyPostfixTest.php  |   14 +-
 .../php/PDepend/Source/AST/ASTPropertyTest.php     |   24 +-
 .../Source/AST/ASTRequireExpressionTest.php        |   12 +-
 .../PDepend/Source/AST/ASTReturnStatementTest.php  |    8 +-
 ...PrimitiveTypeTest.php => ASTScalarTypeTest.php} |   18 +-
 .../PDepend/Source/AST/ASTScopeStatementTest.php   |    8 +-
 src/test/php/PDepend/Source/AST/ASTScopeTest.php   |    8 +-
 .../PDepend/Source/AST/ASTSelfReferenceTest.php    |   12 +-
 .../Source/AST/ASTShiftLeftExpressionTest.php      |   12 +-
 .../Source/AST/ASTShiftRightExpressionTest.php     |   12 +-
 .../php/PDepend/Source/AST/ASTStatementTest.php    |    8 +-
 .../PDepend/Source/AST/ASTStaticReferenceTest.php  |   12 +-
 .../AST/ASTStaticVariableDeclarationTest.php       |    8 +-
 .../Source/AST/ASTStringIndexExpressionTest.php    |   12 +-
 src/test/php/PDepend/Source/AST/ASTStringTest.php  |   82 +-
 .../php/PDepend/Source/AST/ASTSwitchLabelTest.php  |  140 ++-
 .../PDepend/Source/AST/ASTSwitchStatementTest.php  |   74 +-
 .../PDepend/Source/AST/ASTThrowStatementTest.php   |    8 +-
 .../Source/AST/ASTTraitAdaptationAliasTest.php     |   12 +-
 .../AST/ASTTraitAdaptationPrecedenceTest.php       |   12 +-
 .../PDepend/Source/AST/ASTTraitAdaptationTest.php  |   12 +-
 .../PDepend/Source/AST/ASTTraitReferenceTest.php   |   12 +-
 src/test/php/PDepend/Source/AST/ASTTraitTest.php   |   85 +-
 .../Source/AST/ASTTraitUseStatementTest.php        |   12 +-
 .../php/PDepend/Source/AST/ASTTryStatementTest.php |    8 +-
 .../php/PDepend/Source/AST/ASTTypeArrayTest.php    |   10 +-
 .../php/PDepend/Source/AST/ASTTypeCallableTest.php |   12 +-
 src/test/php/PDepend/Source/AST/ASTTypeTest.php    |   14 +-
 .../PDepend/Source/AST/ASTUnaryExpressionTest.php  |  130 ++-
 .../PDepend/Source/AST/ASTUnsetStatementTest.php   |    8 +-
 src/test/php/PDepend/Source/AST/ASTValueTest.php   |   10 +-
 .../Source/AST/ASTVariableDeclaratorTest.php       |    8 +-
 .../php/PDepend/Source/AST/ASTVariableTest.php     |    8 +-
 .../PDepend/Source/AST/ASTVariableVariableTest.php |    8 +-
 .../PDepend/Source/AST/ASTWhileStatementTest.php   |    8 +-
 .../PDepend/Source/AST/ASTYieldStatementTest.php   |    8 +-
 .../PDepend/Source/AST/AbstractASTArtifactTest.php |   14 +-
 .../CollectionArtifactFilterTest.php               |   10 +-
 .../AST/ArtifactFilter/NullArtifactFilterTest.php  |   10 +-
 .../ArtifactFilter/PackageArtifactFilterTest.php   |    6 +-
 .../AST/ClassOrInterfaceReferenceIteratorTest.php  |    8 +-
 .../Source/ASTVisitor/DefaultListenerTest.php      |   10 +-
 .../Source/ASTVisitor/DefaultVisitorTest.php       |   24 +-
 .../PDepend/Source/ASTVisitor/StubASTVisitor.php   |    6 +-
 .../ASTVisitor/StubAbstractASTVisitListener.php    |    6 +-
 .../Source/ASTVisitor/StubAbstractASTVisitor.php   |    6 +-
 .../BuilderContext/GlobalBuilderContextTest.php    |   20 +-
 .../PDepend/Source/Language/PHP/PHPBuilderTest.php |   26 +-
 .../Source/Language/PHP/PHPParserGenericTest.php   |  100 +-
 .../Language/PHP/PHPParserGenericVersion56Test.php |  242 ++++
 .../Language/PHP/PHPParserGenericVersion70Test.php |  521 +++++++++
 .../Language/PHP/PHPParserGenericVersion71Test.php |   74 ++
 .../Source/Language/PHP/PHPParserVersion53Test.php |  141 +++
 .../Source/Language/PHP/PHPParserVersion54Test.php |  406 +++++++
 .../Source/Language/PHP/PHPParserVersion55Test.php |  137 +++
 .../Source/Language/PHP/PHPParserVersion56Test.php |  197 ++++
 .../Source/Language/PHP/PHPParserVersion70Test.php |  539 +++++++++
 .../Source/Language/PHP/PHPParserVersion71Test.php |   87 ++
 .../PHP/PHPTokenizerHelperVersion52Test.php        |    6 +-
 .../Language/PHP/PHPTokenizerInternalTest.php      |   24 +-
 .../Parser/ASTAllocationExpressionParsingTest.php  |   12 +-
 .../Source/Parser/ASTArgumentsParsingTest.php      |   16 +-
 .../Parser/ASTFormalParameterParsingTest.php       |   20 +-
 .../PDepend/Source/Parser/AbstractParserTest.php   |   10 +-
 .../Source/Parser/NamespaceResovingTest.php        |   14 +-
 .../php/PDepend/Source/Parser/SymbolTableTest.php  |  180 +++
 .../php/PDepend/Source/Parser/TokenStackTest.php   |   10 +-
 .../PDepend/Source/Parser/UnstructuredCodeTest.php |   12 +-
 .../php/PDepend/Source/Tokenizer/TokenTest.php     |    6 +-
 src/test/php/PDepend/TextUI/CommandTest.php        |   61 +-
 src/test/php/PDepend/TextUI/ResultPrinterTest.php  |    6 +-
 src/test/php/PDepend/TextUI/RunnerTest.php         |   30 +-
 .../php/PDepend/Util/Cache/AbstractDriverTest.php  |    6 +-
 .../php/PDepend/Util/Cache/CacheFactoryTest.php    |    6 +-
 .../Cache/Driver/File/FileCacheDirectoryTest.php   |   10 +-
 .../Driver/File/FileCacheGarbageCollectorTest.php  |  146 +++
 .../Util/Cache/Driver/FileCacheDriverTest.php      |    8 +-
 .../Util/Cache/Driver/MemoryCacheDriverTest.php    |    6 +-
 src/test/php/PDepend/Util/ConfigurationTest.php    |    8 +-
 .../php/PDepend/Util/Coverage/CloverReportTest.php |   54 +-
 src/test/php/PDepend/Util/Coverage/FactoryTest.php |   10 +-
 .../php/PDepend/Util/Coverage/_files/clover.xml    |   12 +
 src/test/php/PDepend/Util/FileUtilTest.php         |    6 +-
 src/test/php/PDepend/Util/IdBuilderTest.php        |    8 +-
 src/test/php/PDepend/Util/ImageConvertTest.php     |   30 +-
 .../MathUtil/testWithBcaddFunctionDisable.phpt     |   10 +-
 .../MathUtil/testWithBcaddFunctionEnabled.phpt     |   10 +-
 .../MathUtil/testWithBcmulFunctionEnabled.phpt     |   10 +-
 .../MathUtil/testWithBcmullFunctionDisable.phpt    |   10 +-
 src/test/php/PDepend/Util/TypeTest.php             |   16 +-
 src/test/php/PDepend/bootstrap.php                 |    4 +-
 .../Integration/FilteredClass.php                  |    8 +
 .../testGenerateMetrics.php                        |   21 +
 ...zerRestoresExpectedFunctionMetricsFromCache.php |   15 +
 ...lyzerRestoresExpectedMethodMetricsFromCache.php |   24 +
 .../testCalculateFunctionBaseMeasures.php          |   15 +
 .../testCalculateFunctionMeasures.php              |   15 +
 .../testCalculateMethodBaseMeasures.php            |   24 +
 .../testCalculateMethodMeasures.php                |   24 +
 ...zerRestoresExpectedFunctionMetricsFromCache.php |   11 +
 ...lyzerRestoresExpectedMethodMetricsFromCache.php |   20 +
 .../testCalculateFunctionMaintainabilityIndex.php  |   11 +
 .../testCalculateMethodMaintainabilityIndex.php    |   22 +
 .../Dependencies/Xml/testXmlLogWithMetrics.php     |    8 +
 .../Dependencies/Xml/testXmlLogWithoutMetrics.php  |   26 +
 .../Xml/testNodeAwareAnalyzerWithNamespaces.php    |   55 +
 ...r.php => testNodeAwareAnalyzerWithPackages.php} |    0
 .../testAnonymousClassHasExpectedEndColumn.php     |   10 +
 .../testAnonymousClassHasExpectedEndLine.php       |   10 +
 .../testAnonymousClassHasExpectedStartColumn.php   |   10 +
 .../testAnonymousClassHasExpectedStartLine.php     |   10 +
 ...testClassReferenceForJavaStyleArrayNotation.php |    8 +
 .../testForeachStatementWithKeyAndList.php         |    5 +
 .../testForeachStatementWithList.php               |    5 +
 .../testIsVariableArgListPassedByReference.php     |    5 +
 .../testIsVariableArgListReturnsFalseByDefault.php |    5 +
 .../testIsVariableArgListReturnsTrue.php           |    5 +
 .../testIsVariableArgListWithArrayTypeHint.php     |    5 +
 .../testIsVariableArgListWithClassTypeHint.php     |    5 +
 ...testClassReferenceForJavaStyleArrayNotation.php |    8 +
 .../testSimplePrintExpression.php                  |    5 +
 .../Source/AST/ASTString/testStringEndColumn.php   |    9 +
 .../Source/AST/ASTString/testStringEndLine.php     |    9 +
 .../Source/AST/ASTString/testStringStartColumn.php |    9 +
 .../Source/AST/ASTString/testStringStartLine.php   |    9 +
 ...testSwitchLabelDefaultWithNestedNonePhpCode.php |   12 +
 .../testSwitchLabelWithNestedNonePhpCode.php       |   19 +
 .../testSwitchStatementWithNestedNonePhpCode.php   |   19 +
 .../testGetAllMethodsWithAbstractMethods.php       |   18 +
 ...estTraitCanUseParentKeywordAsMethodTypeHint.php |   21 +
 .../testTraitCanUseParentKeywordInMethodBody.php   |    8 +
 .../ASTUnaryExpression/testUnaryExpressionNot.php  |    7 +
 .../testUnaryExpressionSuppressWarning.php         |    5 +
 .../testParserAcceptsInsteadofAsFunctionName.php   |    4 +
 .../testParserAcceptsInsteadofAsMethodName.php     |    7 +
 .../testParserAcceptsInsteadofAsNamespaceName.php  |    4 +
 ...stParserAllowsKeywordCallableAsPropertyName.php |    8 +
 ...arserThrowsExpectedExceptionForInvalidToken.php |    4 +-
 .../testComplexExpressionInConstantDeclarator.php  |   23 +
 .../testComplexExpressionInFieldDeclaration.php    |    6 +
 ...testComplexExpressionInParameterInitializer.php |    3 +
 ...estConstantSupportForArrayWithKeyValuePairs.php |    9 +
 ...tantSupportForArrayWithSelfReferenceInClass.php |    8 +
 ...SupportForArrayWithSelfReferenceInInterface.php |    8 +
 .../testConstantSupportForArrayWithValues.php      |   10 +
 .../testEllipsisOperatorInFunctionCall.php         |   11 +
 .../testMultipleShiftLeftInConstantInitializer.php |    6 +
 ...testMultipleShiftRightInConstantInitializer.php |    6 +
 .../testPowExpressionInFieldDeclaration.php        |    5 +
 .../testPowExpressionInMethodBody.php              |    8 +
 .../testShiftLeftInConstantInitializer.php         |    7 +
 .../testShiftRightInConstantInitializer.php        |    7 +
 .../testClassConstantNames.php                     |   64 ++
 .../testClassConstantNamesAccessed.php             |  132 +++
 .../testClassMethodNames.php                       |   65 ++
 .../testClassMethodNamesInvoked.php                |  132 +++
 .../testClosureReturnTypeHintArray.php             |    8 +
 .../testClosureReturnTypeHintBool.php              |    9 +
 .../testClosureReturnTypeHintCallable.php          |    8 +
 .../testClosureReturnTypeHintClass.php             |    8 +
 .../testClosureReturnTypeHintFloat.php             |    8 +
 .../testClosureReturnTypeHintInt.php               |    8 +
 .../testClosureReturnTypeHintString.php            |    9 +
 .../testConstantNameArray.php                      |    5 +
 .../testFormalParameterScalarTypeHintBool.php      |    5 +
 .../testFormalParameterScalarTypeHintFloat.php     |    5 +
 .../testFormalParameterScalarTypeHintInt.php       |    6 +
 .../testFormalParameterScalarTypeHintString.php    |    5 +
 ...tFormalParameterStillWorksWithTypeHintArray.php |    5 +
 .../testFunctionReturnTypeHintArray.php            |    4 +
 .../testFunctionReturnTypeHintBool.php             |    4 +
 .../testFunctionReturnTypeHintCallable.php         |    4 +
 .../testFunctionReturnTypeHintClass.php            |    4 +
 .../testFunctionReturnTypeHintFloat.php            |    4 +
 .../testFunctionReturnTypeHintInt.php              |    4 +
 .../testFunctionReturnTypeHintString.php           |    4 +
 .../testGroupUseStatement.php                      |   22 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodName.php                |    7 +
 .../testNullCoalesceOperator.php                   |    8 +
 .../testSpaceshipOperatorWithArrays.php            |    8 +
 .../testSpaceshipOperatorWithNumbers.php           |    8 +
 .../testSpaceshipOperatorWithStrings.php           |    8 +
 .../testUniformVariableSyntax.php                  |   74 ++
 .../testNullableTypeHintParameter.php              |    9 +
 .../testNullableTypeHintReturn.php                 |   10 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodNameThrowsException.php |    7 +
 ...stParserAllowsKeywordCallableAsPropertyName.php |    8 +
 ...testParserResolvesDependenciesInDocComments.php |   22 +
 ...owsExceptionForParameterWithExpressionValue.php |    3 +
 ...tedExceptionForStaticMemberExpressionSyntax.php |    7 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodNameThrowsException.php |    7 +
 .../testMagicTraitConstantInString.php             |    6 +
 .../testParserHandlesBinaryIntegerLiteral.php      |    0
 ...stParserHandlesStaticMemberExpressionSyntax.php |   15 +
 ...rowsExceptionForInvalidBinaryIntegerLiteral.php |    0
 ...owsExceptionForParameterWithExpressionValue.php |    3 +
 ...xpectedExceptionForCallableAsCalledFunction.php |    4 +
 ...rowsExpectedExceptionForCallableAsClassName.php |    2 +
 ...hrowsExpectedExceptionForCallableAsConstant.php |    4 +
 ...sExpectedExceptionForCallableAsFunctionName.php |    4 +
 ...ExpectedExceptionForCallableAsInterfaceName.php |    2 +
 ...owsExpectedExceptionForCallableAsMethodName.php |    4 +
 ...ExpectedExceptionForCallableAsNamespaceName.php |    4 +
 ...pectedExceptionForInsteadOfAsCalledFunction.php |    5 +
 ...ExpectedExceptionForInsteadOfAsCalledMethod.php |    5 +
 ...owsExpectedExceptionForInsteadOfAsClassName.php |    4 +
 ...rowsExpectedExceptionForInsteadOfAsConstant.php |    5 +
 ...ExpectedExceptionForInsteadOfAsFunctionName.php |    4 +
 ...xpectedExceptionForInsteadOfAsInterfaceName.php |    4 +
 ...wsExpectedExceptionForInsteadOfAsMethodName.php |    6 +
 ...xpectedExceptionForInsteadOfAsNamespaceName.php |    4 +
 ...wsExpectedExceptionForTraitAsCalledFunction.php |    4 +
 ...rowsExpectedExceptionForTraitAsCalledMethod.php |    5 +
 ...rThrowsExpectedExceptionForTraitAsClassName.php |    4 +
 ...erThrowsExpectedExceptionForTraitAsConstant.php |    5 +
 ...rowsExpectedExceptionForTraitAsFunctionName.php |    5 +
 ...owsExpectedExceptionForTraitAsInterfaceName.php |    5 +
 ...ThrowsExpectedExceptionForTraitAsMethodName.php |    8 +
 ...owsExpectedExceptionForTraitAsNamespaceName.php |    4 +
 ...lipsisOperatorInFunctionCallThrowsException.php |   11 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodNameThrowsException.php |    7 +
 ...ionForComplexExpressionInConstantDeclarator.php |   23 +
 ...ptionForComplexExpressionInFieldDeclaration.php |    6 +
 ...owsExceptionForParameterWithExpressionValue.php |    3 +
 .../testComplexExpressionInConstantDeclarator.php  |   22 +
 .../testComplexExpressionInFieldDeclaration.php    |    6 +
 ...testComplexExpressionInParameterInitializer.php |    3 +
 .../testEllipsisOperatorInFunctionCall.php         |   11 +
 .../testGroupUseStatementThrowsException.php       |    2 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodNameThrowsException.php |    7 +
 .../testPowExpressionInFieldDeclaration.php        |    5 +
 .../testPowExpressionInMethodBody.php              |    8 +
 .../testUniformVariableSyntaxThrowsException.php   |   15 +
 .../PHP/PHPParserVersion56/testUseStatement.php    |    4 +
 .../PHPParserVersion70/testClassConstantNames.php  |   64 ++
 .../testClassConstantNamesAccessed.php             |  132 +++
 .../PHPParserVersion70/testClassMethodNames.php    |   65 ++
 .../testClassMethodNamesInvoked.php                |  132 +++
 .../testClosureReturnTypeHintArray.php             |    8 +
 .../testClosureReturnTypeHintBool.php              |    9 +
 .../testClosureReturnTypeHintCallable.php          |    8 +
 .../testClosureReturnTypeHintClass.php             |    8 +
 .../testClosureReturnTypeHintFloat.php             |    8 +
 .../testClosureReturnTypeHintInt.php               |    8 +
 .../testClosureReturnTypeHintString.php            |    9 +
 .../PHPParserVersion70/testConstantNameArray.php   |    5 +
 .../testFormalParameterScalarTypeHintBool.php      |    5 +
 .../testFormalParameterScalarTypeHintFloat.php     |    5 +
 .../testFormalParameterScalarTypeHintInt.php       |    6 +
 .../testFormalParameterScalarTypeHintString.php    |    5 +
 ...tFormalParameterStillWorksWithTypeHintArray.php |    5 +
 .../testFunctionReturnTypeHintArray.php            |    4 +
 .../testFunctionReturnTypeHintBool.php             |    4 +
 .../testFunctionReturnTypeHintCallable.php         |    4 +
 .../testFunctionReturnTypeHintClass.php            |    4 +
 .../testFunctionReturnTypeHintFloat.php            |    4 +
 .../testFunctionReturnTypeHintInt.php              |    4 +
 .../testFunctionReturnTypeHintString.php           |    4 +
 .../PHPParserVersion70/testGroupUseStatement.php   |   22 +
 ...estListKeywordAsFunctionNameThrowsException.php |    4 +
 .../testListKeywordAsMethodName.php                |    7 +
 .../testNullCoalesceOperator.php                   |    8 +
 .../testSpaceshipOperatorWithArrays.php            |    8 +
 .../testSpaceshipOperatorWithNumbers.php           |    8 +
 .../testSpaceshipOperatorWithStrings.php           |    8 +
 .../testUniformVariableSyntax.php                  |   74 ++
 .../testNullableTypeHintParameter.php              |    9 +
 .../testNullableTypeHintReturn.php                 |   10 +
 .../resources/files/bugs/00000247/testUseConst.php |   15 +
 .../files/bugs/00000247/testUseFunction.php        |   15 +
 ...tPackageDoesNotContainClassWithBrokenMethod.php |    5 -
 ...geDoesNotContainFunctionWithBrokenSignature.php |    4 -
 .../1412288686/testFalseKeywordInNamespace.php     |    6 +
 .../bugs/1412288686/testTrueKeywordInNamespace.php |    6 +
 .../UnexpectedTokenInParameterDefaultValue.php     |    0
 .../ValidFileUnderTest.php                         |    0
 ...WhenNoErrorOccurredDuringTheParsingProcess.php} |    0
 .../UnexpectedTokenInParameterDefaultValue.php     |    0
 .../ValidFileUnderTest.php                         |    0
 ...ceptionWhenDefaultValueContainsInvalidToken.php |    3 -
 ...ectedExceptionForArrayInConstantDeclaration.php |    6 -
 .../resources/files/parser_regression/0005.php     |   11 +
 787 files changed, 20383 insertions(+), 6170 deletions(-)
